IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20160102,-58.50011639,-34.67316502,9,Via Principal,"PERON, EVA AV."
20160104,-58.46635001,-34.65624369,9,Via Principal,ZINNY
20160105,-58.45343236,-34.58435809,15,Via Principal,"LACROZE, FEDERICO AV."
20160106,-58.38090932,-34.58927731,1,Via Principal,"PELLEGRINI, CARLOS"
20160107,-58.37157668,-34.65429986,4,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
20160109,-58.52280139,-34.63659934,9,Autopista,AUTOPISTA PERITO MORENO
20160110,-58.51232237,-34.65903530,9,Via Principal,"ALBERDI, JUAN BAUTISTA AV."
20160111,-58.47461905,-34.57663634,15,Autopista,LUGONES
20160112,-58.38268809,-34.62282019,1,Autopista,AUTOPISTA 25 DE MAYO
20160113,-58.49603546,-34.64564271,9,Via Principal,"ALBERDI, JUAN BAUTISTA AV."
20160114,-58.41848605,-34.59394733,14,Via Local,"SALGUERO, JERONIMO"
20160115,-58.48935041,-34.54917673,12,Via Local,ARIAS
20160116,-58.44451316,-34.68475866,8,Via Principal,27 DE FEBRERO AV.
20160117,-58.39936478,-34.58271474,14,Via Principal,DEL LIBERTADOR AV.
20160118,-58.37936704,-34.62694503,1,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
20160119,-58.49659234,-34.56353635,12,Via Principal,"LARRALDE, CRISOLOGO AV."
20160122,-58.47256391,-34.65194557,9,Via Principal,"PERON, EVA AV."
20160123,-58.45130953,-34.64053676,7,Via Principal,ASAMBLEA AV.
20160124,-58.46271207,-34.62884871,7,Via Principal,RIVADAVIA AV.
20160125,-58.49020869,-34.64243791,10,Autopista,AUTOPISTA PERITO MORENO
20160126,-58.52572109,-34.62125906,10,Via Local,IRIGOYEN
20160127,-58.44094791,-34.66677111,8,Via Principal,"ACOSTA, MARIANO"
20160128,-58.41914024,-34.63053890,5,Via Principal,CASTRO
20160130,-58.37910942,-34.62764717,1,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
20160131,-58.39871183,-34.64539318,4,Via Local,MIRAVE
20160132,-58.41036975,-34.62477021,3,Via Principal,SAN JUAN AV.
20160133,-58.40204698,-34.58342690,14,Via Principal,LAS HERAS GENERAL AV.
20160134,-58.48935287,-34.67648597,8,Via Principal,PIEDRA BUENA AV.
20160135,-58.42260225,-34.56403694,14,Via Principal,"FIGUEROA ALCORTA, PRES. AV."
20160136,.,.,4,Autopista,AUTOPISTA BUENOS AIRES - LA PLATA
20160137,-58.51537091,-34.59035925,11,Via Principal,SAN MARTIN AV.
20160138,-58.45909670,-34.55922742,13,Via Principal,CABILDO AV.
20160139,-58.42008769,-34.56539579,14,Via Principal,"FIGUEROA ALCORTA, PRES. AV."
20160140,-58.45566399,-34.56147293,13,Via Principal,JURAMENTO AV.
20160142,-58.37533517,-34.59276462,1,Via Principal,DEL LIBERTADOR AV.
20160143,-58.44451316,-34.68475866,8,Via Principal,27 DE FEBRERO AV.
20160144,-58.35975012,-34.63343907,4,Via Principal,"BROWN, ALTE. AV."
20160145,-58.44523595,-34.55953855,13,Via Principal,DEL LIBERTADOR AV.
20160146,-58.39626094,-34.63036565,4,Via Principal,PICHINCHA AV.
20160147,-58.38896772,-34.61799615,1,Via Principal,INDEPENDENCIA AV.
20160148,-58.46536113,-34.59484504,15,Via Principal,GARMENDIA AV.
20160150,-58.40879146,-34.65273216,4,Via Principal,"ALCORTA, AMANCIO AV."
20160151,.,.,,Via Local,
20160152,-58.46451841,-34.64991946,7,Via Principal,"MORENO, PERITO AV."
20160153,-58.42917090,-34.59485488,15,Via Principal,ARAOZ
20160154,-58.49007772,-34.68251141,8,Autopista,"PAZ, GRAL. AV."
20160155,-58.52756365,-34.62772274,10,Via Local,MADERO
20160156,-58.40638983,-34.61943202,3,Via Principal,INDEPENDENCIA AV.
20160157,-58.47576807,-34.61740997,11,Via Principal,"JUSTO, JUAN B. AV."
20160159,-58.44451316,-34.68475866,8,Via Principal,27 DE FEBRERO AV.
20160160,-58.51927194,-34.63635787,9,Autopista,AUTOPISTA PERITO MORENO
20160161,-58.42525456,-34.57866344,14,Via Principal,SANTA FE AV.
20160162,-58.45396573,-34.58518167,15,Via Principal,"LACROZE, FEDERICO AV."
20160163,-58.52340614,-34.59798754,11,Autopista,"PAZ, GRAL. AV."
20160164,-58.42323628,-34.64119105,4,Via Principal,LA PLATA AV.
20160165,-58.36926144,-34.62841919,4,Via Principal,"GARCIA, MARTIN AV."
20160168,-58.42323628,-34.64119105,4,Via Principal,LA PLATA AV.
20160169,-58.47935434,-34.55676497,12,Via Principal,NU?EZ
20160170,-58.50598256,-34.56379980,12,Autopista,"PAZ, GRAL. AV."
20160171,-58.36607137,-34.62150748,1,Autopista,"HUERGO, ING. AV."
20160172,-58.41918902,-34.63174259,5,Via Principal,"GARAY, JUAN DE AV."
20160173,-58.46749188,-34.63551751,7,Via Principal,DIRECTORIO AV.
20160174,.,.,,Autopista,AUTOPISTA 25 DE MAYO
20160175,-58.46064174,-34.62960517,7,Via Local,"FALCON, RAMON L.,CNEL."
20160176,-58.36956186,-34.61232875,1,Via Principal,BELGRANO AV.
20160177,-58.40966671,-34.58788235,14,Via Local,ARENALES
20160178,-58.40288226,-34.61544091,3,Via Local,REPUBLICA BOLIVARIANA DE VENEZUELA
20170001,-58.46594230,-34.61028571,11,Via Principal,"JUSTO, JUAN B. AV."
20170003,-58.38957669,-34.64410277,4,Via Principal,OLAVARRIA
20170007,-58.38161660,-34.61529543,1,Via Local,LIMA
20170008,-58.43917004,-34.58494351,14,Via Local,"CABRERA, JOSE A."
20170009,-58.41595919,-34.62743346,5,Autopista,AUTOPISTA 25 DE MAYO
20170010,-58.43564880,-34.62828656,6,Via Principal,DIRECTORIO AV.
20170011,-58.50073810,-34.54979510,12,Autopista,"PAZ, GRAL. AV."
20170012,-58.40969005,-34.65055290,4,Via Local,TRAFUL
20170013,-58.38972622,-34.65098981,4,Via Principal,"IRIARTE, GRAL. AV."
20170014,-58.49185972,-34.55046754,12,Via Principal,DONADO
20170015,-58.39293417,-34.59963642,2,Via Principal,CORDOBA AV.
20170016,-58.38099494,-34.62288231,1,Autopista,AUTOPISTA 25 DE MAYO
20170017,-58.42901200,-34.58095431,14,Via Principal,"JUSTO, JUAN B. AV."
20170018,-58.50877521,-34.66977709,9,Autopista,"PAZ, GRAL. AV."
20170021,-58.38362373,-34.60509972,1,Via Local,SARMIENTO
20170024,-58.46589308,-34.62955795,7,Via Principal,RIVADAVIA AV.
20170025,-58.43614426,-34.65424640,7,Via Principal,"FERNANDEZ DE LA CRUZ, F., GRAL. AV."
20170026,-58.41842777,-34.64979057,4,Via Principal,"MORENO, PERITO AV."
20170027,-58.38332245,-34.63193250,1,Via Principal,CASEROS AV.
20170028,-58.45475488,-34.61196327,6,Via Principal,GAONA AV.
