IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20160153,1,Femenino,Fallecida,Adulto Mayor
20160154,3,Masculino,Fallecida,Adulto 30 a 39
20160155,1,Femenino,Fallecida,Adulto Joven
20160156,3,Masculino,Fallecida,Adulto Joven
20160157,3,Masculino,Fallecida,Adulto Joven
20160159,3,Masculino,Fallecida,Adulto Joven
20160160,3,Masculino,Fallecida,Adulto Joven
20160161,1,Masculino,Fallecida,Adulto 50 a 59
20160162,1,Masculino,Fallecida,Adulto 30 a 39
20160163,3,Masculino,Fallecida,Adulto Joven
20160164,3,Masculino,Fallecida,Adulto Joven
20160165,2,Masculino,Fallecida,Adulto 30 a 39
20160168,3,Masculino,Fallecida,Adulto 40 a 49
20160169,3,Masculino,Fallecida,Adulto Joven
20160170,4,Masculino,Fallecida,Adulto Joven
20160171,3,,Fallecida,
20160172,3,Masculino,Fallecida,Adulto 30 a 39
20160173,3,Masculino,Fallecida,Adulto 30 a 39
20160174,,,Fallecida,
20160175,1,Femenino,Fallecida,
20160176,3,Masculino,Fallecida,Adulto Joven
20160177,1,Femenino,Fallecida,Adulto Joven
20160178,1,Femenino,Fallecida,Infante
20170001,3,Masculino,Fallecida,Adulto Joven
20170003,4,Masculino,Fallecida,Adulto 30 a 39
20170007,1,Masculino,Fallecida,Adulto 40 a 49
20170008,3,Masculino,Fallecida,Adulto Joven
20170009,3,Masculino,Fallecida,Adulto 30 a 39
20170010,3,Masculino,Fallecida,Adulto Joven
20170011,4,Femenino,Fallecida,Adulto Joven
20170012,3,Masculino,Fallecida,Adulto 30 a 39
20170013,1,Masculino,Fallecida,Infante
20170014,4,Femenino,Fallecida,Adulto Joven
20170015,1,Masculino,Fallecida,Adulto Mayor
20170016,3,Masculino,Fallecida,Adulto Joven
20170017,3,Masculino,Fallecida,Adulto 30 a 39
20170018,3,Masculino,Fallecida,Adulto 30 a 39
20170021,3,Masculino,Fallecida,Adulto 40 a 49
20170024,1,Masculino,Fallecida,Adulto 30 a 39
20170025,3,Masculino,Fallecida,Adulto Joven
20170026,4,Femenino,Fallecida,Adulto Joven
20170026,3,Masculino,Fallecida,Adulto Joven
20170027,1,Masculino,Fallecida,
20170028,1,Masculino,Fallecida,Adulto Mayor
20170029,,Masculino,Fallecida,Adulto 30 a 39
20170030,3,Femenino,Fallecida,Adulto Joven
20170031,4,Masculino,Fallecida,Adulto Mayor
20170032,4,Femenino,Fallecida,Adulto 40 a 49
20170033,3,Masculino,Fallecida,Adulto Joven
20170034,1,Masculino,Fallecida,Adulto 40 a 49
20170035,3,Masculino,Fallecida,Adulto Joven
20170035,4,Masculino,Fallecida,Adulto 30 a 39
20170035,4,Masculino,Fallecida,Adulto 30 a 39
20170036,4,Femenino,Fallecida,
20170036,3,Masculino,Fallecida,Adulto Joven
20170037,3,Masculino,Fallecida,Adulto 40 a 49
20170038,3,Femenino,Fallecida,Adulto 40 a 49
20170040,3,Masculino,Fallecida,Adulto 40 a 49
20170041,3,Masculino,Fallecida,Adolescente
20170042,3,Masculino,Fallecida,
20170045,3,Masculino,Fallecida,Adulto Joven
